userName,at,content,score
Denis Haryanto,2024-03-28 11:19:46,Bagus dan informatif,5
SAPTO EDI WIBOWO,2024-03-28 12:26:56,mantap,5
Afrizal Izal,2024-03-28 12:38:26,Aplikasi pea. Ga bisa cek saldo kmt.,1
Ahmad tsaqib “Ami” Fahmi,2024-03-29 02:31:44,Sampe skrng error ga bisa dipake,1
Nur A.,2024-03-30 02:10:36,Tidak bisa masuk ke dalam aplikasi,1
Fadlan Farabi,2024-03-30 10:41:59,"Aplikasinya Rusak, tidak dapat digunakan. Padahal penting sekali buat liat fitur Posisi Kereta walaupun sering eror juga fitur Posisi Kereta.",1
Taufik Kurohman,2024-03-31 22:27:53,App tolol,1
Zulfachri Fauzan,2024-04-01 01:33:34,Aplikasinya selalu error ketika mau melihat jadwal,1
Thannarief,2024-04-01 10:53:37,Weh tolong lah kaga bisa login alasannya salah password padahal udah ganti password,1
Myloser Me,2024-04-01 11:55:39,Kenapa setelah di-update malah ga bisa dibuka?? Parah banget ini aplikasi,1
Maulana Seto,2024-04-02 01:26:58,"Aplikaai buruk rupa, mau masuk aja ga bisa. Error muly ga dibenerin.",1
Haryo Adi Prakoso,2024-04-02 09:32:49,Aplikasi sering tidak dapat di akses. Mohon menjadi perhatian agar dapat segera meningkatkan pelayanan.,1
dimas ismawan abdullah,2024-04-02 09:34:11,error mulu,1
Hendra Adi Putra,2024-04-02 11:06:48,"payah, bagusan aplikasi KRL Akses, ini susah banget cari stasiun, harus tepat berada di area dekat lokasi stasiunnya baru kita bisa cek jadwal atau posisi kereta",1
Nununananan min,2024-04-03 11:49:51,Makin makin ga jelasss,1
miftahul jannah,2024-04-03 14:41:41,Aplikasi kebanyakan ngebug nya heran banget,2
Herul Ajhar,2024-04-04 05:21:00,Parah ga kaya apk sebelum nya,1
Nur Rizal (Rizal),2024-04-04 11:56:18,sangat membantu,5
Monika Julianti,2024-04-04 22:03:00,Sampe hari ini masih aja gangguan,1
krishna yogara,2024-04-05 02:17:14,Terjadi masalah. Yah ada sedikit masalah. Coba beberapa saat lagi (1f4),2
Neptunus,2024-04-05 07:46:28,Membantu 100 Tidak membantu 110 Sangat tidak membantu 1000000000000,1
Xo storyes,2024-04-05 13:42:01,Kenapa tidak bisa dibuka? Setiap mau chek jadwal pas dibuka ada tulisan : Yah ada sedikit maslah. Kok gitu terus?,2
Ade Irfan Maulana Irfan,2024-04-05 13:47:52,Ini apk kok error ya gk bisa d buka,1
Alif Daffa Hernanda,2024-04-06 01:38:20,gausah bikin aplikasi kalo error optimal kan saja dulu web Base,1
yunia sulasih,2024-04-06 13:55:08,"Cek saldo pake NFC lgs nyambung,top up pake gopay jg lgs terakumulasi saldonya",4
Ihsan Firdansah,2024-04-07 16:11:54,Kalo belum siap buat aplikasi mending jangan buat dulu deh. Banyak banget bug nya,1
Andi Permana,2024-04-08 09:52:19,apl nya ga bisa di buka,1
Andhika Permana,2024-04-09 04:47:18,aplikasi tolol ga bisa di buka2,1
Maul Lista,2024-04-09 11:53:24,Buruk,1
Purple U,2024-04-10 07:51:22,gimn sih kok nggak bisa buat cari stasiun. ada tulisan tidak ditemukan terus,1
Qwinxx,2024-04-10 19:12:14,"tolong diperbaiki bug atau apapun itu, kok pas saya buka apk nya malah disuruh setting waktu? padahal waktu di hp saya sudah sangat sesuai dengan wilayah saya",2
Sunhaji,2024-04-11 05:43:59,"Semua yg berhubungan dengan ""Plat merah"" udah biasa begini, ya mungkin merasa aman karena di backup APBN kalau rugi suntik dana beres, jadi masalah pelayanan pelanggan beda kisah aja sih. Beda cerita sama swasta yg hidupnya benar-benar dari konsumen.",1
Audreybellvania Zevanna,2024-04-11 09:23:01,"Nggak jelas ni aplikasi, sungguh sangat mengecewakan",1
Glorius Slash,2024-04-11 09:52:55,Top up kartu KMT untung top up nya jumlah kecil kaga masuk pepeq 🖕🏻,1
Abu Salman,2024-04-11 21:02:15,apk tdk bisa dipake....,1
Teddy darmansyah,2024-04-12 01:42:19,Error bae,1
aris thoivin,2024-04-12 03:20:08,"Aplikasi tidak bisa dibuka karena kesalahan, mohon diperbaiki",1
Agus Hendro,2024-04-12 06:52:57,Error setelah di-update. Tambah ga jelas,1
Mistuti Yuniarsih,2024-04-12 12:23:06,"Udah diupdate lg bukannya bisa kebuka login nya, ini malahan eror....menuh2in aplikasi memori aja jadinya",1
Ruben Albert Panggabean,2024-04-13 01:36:36,wow aplikasinya bagus banget pas aku buka saja disambut dengan sedang ada masalah padahal internet saya lancar loh,1
DEDI HADIANSYAH,2024-04-13 04:40:54,lebih sering gangguan daripada normal,2
Yanu Prasetyo,2024-04-13 06:40:56,"Eror Mulu, mau liat posisi kereta ga pernah bisa. Parah pokoke",1
Deean Wiyoto,2024-04-14 08:41:27,mau top up ko ga bisa dihubungkan ya?,1
Tani Suwandi,2024-04-14 12:49:10,Kacau bnr ini aplikasi udh beberapa hari gk bisa dibuka selalu ada popup terjadi kesalahan trs.,1
Kylie Lourenza,2024-04-14 17:34:08,"aplikasi nya parah, gak bisa masuk sama sekali, asal kita klik aplikasi ini, ya udh stak berhenti disana dilogo C-Access aja",1
Han studio,2024-04-15 05:44:52,Eror terus gak bisa dibuka,1
khabib abdillah,2024-04-15 10:45:05,"Aplikasi gak jelas, gak bisa di buat cek rute",1
Reza,2024-04-16 00:49:59,"Ngebug mulu gabisa cek jadwal ""yah sedikit ada masalah"" kalo ada masalah ya perbaiki lah aplikasi cacat",1
AN_ Family,2024-04-16 03:04:03,Kog ga bisa dibuka yaa,1
deuis safitri,2024-04-16 05:43:27,Tadinya udh ok banget. Tp lama-lama pas mau di akses gangguan mulu.. ah gimana sih,2
Irham Irham,2024-04-16 06:20:06,"Minta atur waktu terus, kalo pun lolos stasiun ga ada pilihannya. Rating serendah ini kelihatan kalo performa app ga masuk KPI alias ga diperhatikan",1
Ivik Zulkipli,2024-04-17 10:11:46,"Akses susah di buka , eror mulu",1
Keni Angraini,2024-04-17 12:50:48,Gabisa terus,1
Karim Subekti,2024-04-17 21:15:17,Kenapa aplikasi nya sekarang erorr ya. Padahal sangat berguna ini,2
Akbar Rohmah,2024-04-17 22:25:52,Kaga bisa log in. Apa sih,1
Dhonny Prihantoro,2024-04-17 22:55:10,"sampai sekarang masih error, maaf saya uninstall, kabari aja kalau sudah ada perbaikan",1
Sri widia Hdyt,2024-04-17 23:08:14,Aplikasinya gak berguna banget dahh!!!,1
Edi Supriyadi,2024-04-18 01:35:40,Semoga aplikasi ini akurat,5
Rizal,2024-04-18 03:42:21,"Kok begini banget ya aplikasinya, selalu ada tulisan sedang ada masalah. kalo begini lebih mending aplikasi sebelumnya, KRL access",1
Dwi Setiadi,2024-04-18 04:12:32,Gabisa digunakan di redminote 8 pro,3
Puji Raja Bagus Kausar,2024-04-18 06:08:50,"-+ 5 menit loading awal buka aplikasi ga muncul ,lebih cepet versi web untuk lihat jadwal krl tapi sekarang ga bisa yg web nya",1
Agusman Nazifah,2024-04-19 00:49:32,Gajelas,1
wandi suharlan,2024-04-19 04:56:56,Susah masuk,5
Chairunnisa Siregar,2024-04-19 11:45:14,ini aplikasi kenapa dah tiba2 gk bisa buka krn settingan jam beda....bagusan aplikasi yg lama kl kaya gini mah 😭😭,1
Septian Zulfa Fuadi,2024-04-20 02:58:33,"Saat pertama install, masih bekerja dengan baik. Hari ini malah eror dengan keterangan kesalahan setting waktu",2
Risanggalih,2024-04-20 04:11:20,"Paling nggak beri pengumuman di aplikasi lama, kalau aplikasi nya ganti",1
Luddy Giarta,2024-04-20 06:27:10,"Aplikasi aneh, tiba2 logout, mau login kembali dan sudah hapus data selalu 1F4. gini amat aplikasi karya putra putri terbaik bangsa wkwk",1
Almira Maulida,2024-04-20 07:59:14,Aplikasi sampah tak berguna,1
Fissella jazzvy arphegia tiara,2024-04-20 09:35:02,gabisa di buka sama sekali,1
Bams Bang,2024-04-20 11:09:27,Aplikasi sering bermasalah....IT nya bisa kerja ga....,2
Tri Arisandi,2024-04-20 11:45:46,Mendingan app yang dlu yang ini tidak bagus mau cek rute aja susah,1
Enung,2024-04-20 11:47:07,Apk tolol gak guna,1
PADLI Drestadyumna,2024-04-20 12:46:35,"Developerny mending suruh bikin nasi uduk aja, daripada bikin aplikasi eror terus..",1
Febrian_Ebi,2024-04-20 14:44:42,"Aplikasi KRL banyak yg gkk jelas , buat aplikasinya niat atau gkk sih,",1
Eko Prayogi,2024-04-21 02:18:59,"C access bagus berkembang versi sekarang, bisa input KMT dengan fitur NFC, *saran harusnya orang orang awam di kasih tau cara penggunaan seperti tutorial video",5
Mikha Khannaniel,2024-04-21 02:36:53,Error mulu perasaan 😒,1
Mo Desta,2024-04-21 21:45:21,Baru mau di buka buat lihat jadwal kereta aplikasinya malah gak kebuka.. hadeeh,1
M Sutan Arif Nur Anwar,2024-04-21 22:33:59,"Ayolah Guys, Kalau ada Aplikasi buatan Indonesia tuh didukung, jangan hanya penuh dengan kritikan tidak bermutu. Gunakan bahasa yang santun, berikan masukan/saran yang terbaik, Terlepas dari apapun kekurangannya. Kalau kita tidak kompak mendukung, bagaimana bangsa ini maju? Terimakasih. 😉",5
Ayumidenisa A,2024-04-21 22:48:45,"Baru download aplikasinya, alhamdulillah lancar. Cuma sayangnya ga bisa lihat berapa jumlah gerbong keretanya, sayang banget. Saya lihat dulu utk bbrpa waktu kedepannya,kalo ada perbaikan dan ga ada kendala saya perbarui bintangnya.",3
Yoshi Rakhmy,2024-04-22 00:40:54,Ga busa dibuka,2
arif gunawan,2024-04-22 00:46:21,Kenapa aplikasinya eror terus,1
vnillablue.,2024-04-22 03:06:02,"Aplikasi rusak dan tidak bisa digunakan, dikit-dikit error padahal jaringan ga bermasalah, tolong diperbaiki min aplikasi nya",1
Ikhsan Maulana,2024-04-22 05:06:35,"Ga bisa login, ga bisa reset password, ga bisa bikin akun. Gimana sih...",1
wahyu lestari,2024-04-22 06:16:22,"Kok error ya min, kirain minta di perbaharui tapi nggak ada notif dan di google store gk ada perintah?",4
JEFRI FERNANDO,2024-04-22 12:16:59,Error,1
Annisa Affandi15,2024-04-23 08:04:28,"koneksinya masih bagusan yg lama KRL acces... Yg ini mah gembel,lemot pula...",1
Wibowo Kesuma,2024-04-23 10:31:26,"Bapuk, lemot, gak tepat di menu posisi kereta. Better krl access",1
Fitri Khoerunnisa,2024-04-23 11:06:17,Diperbaiki lagi sering bgt error. Masih mending aplikasi dulu dibanding ini,1
A I Ridwanudin,2024-04-24 01:13:48,Sering ga bisa dibuka,1
Fikri Ahmad Maulana,2024-04-24 03:41:22,Bisakah untuk fitur melihat posisi kereta dan jadwal kereta tanpa perlu mengaktifkan Lokasi handphone dahulu? Padahal bisa dibuat lebih mudah dan simpel seperti KAI Access.,3
DRT,2024-04-24 11:46:45,Gak bisa daftar,1
Muhammad Langgeng,2024-04-25 00:04:45,Tolong di perbaiki menu posisi KRL karena ada beberapa pemberangkatan KRL tidak terlacak di menu posisi KRL aplikasi C-Acces.,1
Desi Tri Utami,2024-04-25 14:34:01,"Aneh nih apk sudah berhasil topup tapi giliran update saldo selalu invalid token, jadi hangus saldo gopay. Mau update canggih tapi apk belum siap.",1
tedy hp,2024-04-28 02:22:43,"terlalu dipaksakan,,belum bisa link ke pembayaran",1
Al Fikri,2024-04-28 11:02:26,"Aplikasi telek, kok iso lo belum siap rilis di up.. Banyak bug, akses ke server lemot bgt si, padahal udh ada chace sharusnya si ga begitu berat, tp ini yaampun ntah gimana programmernya",1
Widy Budi,2024-04-28 12:53:15,Sangat membantu cuma di banyakin gerbongnya,5
Debi Anugrah,2024-04-28 15:19:27,Tidak berguna,1
luth fi,2024-04-29 00:30:31,"Suruh sambung gopay, nunggu bo otp tdk pernah diulang, sdh dicoba di 2 device android dan iPhone",1
irawan nurinsan,2024-04-29 07:52:08,Tolong dong metode tup up nya bisa pake ovo kan bisa ada beberapa opsional metode top up,5
Yudha Firmansyah,2024-04-29 17:27:24,"BADDDD APLICATION!! SALDO TERPOTONG, TAPI GABISA OUT!!",1
Putrisya Nirbaya,2024-04-30 01:22:49,Lemoott app nya,1
RedSkins LastWar,2024-04-30 06:46:52,"Gila, aplikasi sesampah ini. Bahkan, sekedar nulis nama Stasiun aja ga bisa. Masa nama Stasiun mesti digabung.",1
Putra Pandjaitan,2024-05-01 04:18:04,"Buat daftarnya ribet, segala karakter spesial apalah masih gk kebaca juga... 🥰",2
Syfa Noer,2024-05-01 21:04:06,"Baru install, apknya makin menarik",4
Adang Heryana,2024-05-02 08:29:40,Baik,5
Anang Setiawan,2024-05-03 09:02:31,mau daftar aja ribet bgt,1
Ichaniago Syah,2024-05-03 13:31:13,"Sering sekali ""data tidak ditemukan""",1
yoed's &tertainment,2024-05-04 12:12:18,"Aplikasi KRL Access sptnya di-shutdown tp aplikasi rujukan pengganti juga tidak bisa dipakai padahal sdh daftar by email dan no hp, still can not work. Wake up Commuterline !!",1
Kang Arif (Mass),2024-05-07 08:12:08,"Gk bisa pake foto profil, malah nyuruh login ulang mulu",1
Widiaoctavia Ningrum,2024-05-08 07:56:33,"tlg donk di perbaiki , masa lebih sering tidak bisa di gunakan , jaringan bagus . fitur sudah ok bisa pesan tiket sekalian . tapi di perbagus sinyal untuk lihat jadwal dan pesan tiketnya . terima kasih",3
ibnu nugraha,2024-05-08 10:53:28,"Udah paling bener KRL aksess, ini ganti C aksess jadwal dan posisi kereta terkininya nguawuuuur",1
hinazuki,2024-05-08 11:28:59,"Aplikasi jauh dari kata optimal, kembangkan lagi",1
Sirly Maulida,2024-05-08 11:39:25,"Kalau ga niat bikin aplikasi ga usah ganti ganti, eror terus, jadi susah atur waktu naik krl, apknya aja ga bener",1
Rindy Helinda,2024-05-08 12:08:22,"aplikasi ngelag, bisa in ga bisa out.",3
Heri Setiyo Nugroho,2024-05-10 03:55:45,Cek jadwal KRL. Mudah dicari. Lebih praktis dan cepat.,5
Arcilla Khirani lavanya,2024-05-10 03:56:54,Tidak bisa di pakai,1
Andreas Yordan,2024-05-12 05:58:50,Bagus,5
Sadaya Media,2024-05-12 06:00:49,"Tolong dong aplikasi nya di perbaiki masa sering logout sendiri, capek tiap buka aplikasi harus login terus, bahkan kadang kadang susah di buka nya",2
Baban Syam,2024-05-12 07:58:14,"Apk gajelas, ngecek saldo gabisa lol afk aja loh",1
Tatang Suherman,2024-05-15 23:52:06,Aplikasi paling sulit buat baca KARTU NYA SENDIRI,1
Rebin Achmad sofinudin,2024-05-16 09:50:28,Trimakasih untuk mempermudah cek kartu,5
maryono,2024-05-16 23:24:25,Warna huruf kurang kontras Sulit dibacanya mohon diganti dengan warna lain agar terlihat lebih jelas,5
Muhammad Daffa Umam,2024-05-17 10:46:49,Ga bisa cek saldo kartu multi trip,1
Mydhay,2024-05-17 22:21:43,Mempermudah apanya? Hhhaaa apk kocag,1
Suryadin Hakim2,2024-05-18 14:01:07,Aplikasi gak guna Alhamdulillah udh gw hapus dari ponsel,1
Kahar Udin,2024-05-19 12:07:37,Bagus aplikasi ini.. mantap,5
Rafi Sans,2024-05-19 19:02:28,"Ga jelas asli awal doang bisa digunain, skrg udh sebulanan gk bisa kepake",1
Anggi Abdillah,2024-05-21 01:52:31,"Aplikasi gak jelas , gak akurat ... mending krl access tapi malah gabisa sekarang",1
Bagas Mahendra,2024-05-21 11:20:46,"Aplikasi ccd, lebih baik aplikasi KRL-Access untuk load data. Tolong lah pilih vendor software housenya yang bener. Team Dev nya harud di evaluasi lagi.",1
[ARD] Suhardi,2024-05-21 11:36:21,Server error berminggu-minggu,1
Ashiddiq,2024-05-22 14:51:01,"Ini aplikasi baru bkn'y makin baik, malah makin gak jls & gak bisa di access lagi...",1
Syifa Nurul,2024-05-22 16:23:13,"tidak bisa digunakan, tidak berguna",1
Fani Rianda Nur Adianto,2024-05-23 04:35:55,Ini aplikasi apa ? Gak jelas,1
Lana Arlan,2024-05-23 09:18:28,mending balik ke versi lama deh,1
ubay dillah,2024-05-24 15:24:15,Aplikasi kagak jelas.. tiap mau daftar ulang atau log in. Kagak bisa².. gagal terus,1
Faizal Fatkhu Rakhman,2024-05-24 17:12:58,Mantap,5
Firman Ferdian,2024-05-25 05:09:32,Good,5
Muhammad Rudi,2024-05-25 15:59:50,AGAK LEMOT PAYAH,1
Randi Purnama,2024-05-26 05:45:45,Biar di baca SUKA EROR PAS MAU CEK/UPDATE SALDO MENDING GA USAH PAKAI MENDING ISI DI STASIUN DARI PADA KESEL ORANG BURU2 MALAH TIDAK BISA DI PAKAI,5
Antoni Saputra,2024-05-26 11:15:38,Bagus...untuk mengetahui jadwal dan posisi kereta....,5
Ah Masaa,2024-05-26 22:52:24,"Aplikasi payah makin kesini makin dipersulit, nentuin lokasi stasiun di posisi stasiun aja malah gabisa",1
Rafih Tedhe,2024-05-27 01:41:43,"Ini aplikasi kenapa dah setiap hari selalu minta login? Giliran login keterangan selalu password salah,giliran udah di ganti password tetep salah juga,sistem nya jelek amat buat perusahaan sebesar KAI? Cuih",1
Yogi Setya Adhi,2024-05-27 02:10:20,Aplikasi t*i,1
Alghozali Rizki,2024-05-27 02:11:13,"Gajelas, mau login aja gabisa",1
Irwan Wiguna,2024-05-27 03:13:53,Aplikasi TOLOL,1
Muhammad Rivai,2024-05-27 03:57:02,"Tolkng perbaiki, saat login udh masuk, malah log out terus",2
Avira Khofifah,2024-05-27 05:13:13,gajelas eror eror eror mulu,1
Paryadi Kambari,2024-05-27 06:32:01,Pengoperasian mudah dan sangat membantu,5
Ali Hanif,2024-05-27 08:04:05,Aplikasi kaga danta pisannn,1
Andri Suryana,2024-05-27 09:36:41,Aplikasi nya eror terus,2
Anggi Triwulandari,2024-05-27 09:49:22,"Apk stress, udah login mlh keluar lg, suru login lagi,",1
yusuf,2024-05-27 09:52:54,"Ribet banget nih apk, mau tahu jadwal CL doang login berulang ulang...",1
yahya taufani,2024-05-27 11:20:48,Tolong di perbaiki masalah bug nya terkadang suka gak bisa login,4
mohammad eric rivaldi,2024-05-27 11:24:47,Sering kagak bisa apk nya,1
Muhamad Rizkia,2024-05-27 12:12:56,Ampas,1
Kang YAYAN,2024-05-27 13:41:44,"Aplikasi loading, tidak respon Belum di rekomendasikan",1
Erlan Kumank,2024-05-27 15:27:38,"Mending lebih cepat yg lama aplikasinya,klo yg ini lama masuknya dan sering tidak dapet kedetek jadwalnya infonya tidak terhubung aneh bin ajaib sekelas KAI Tolong diperbaiki untuk kedepannya agar tidak mempersulit hanya melihat Jadwal atau posisi kereta Khususnya KRL",1
Anisa pratama,2024-05-27 15:47:43,Aplikasi gajelas. Kendala terus. Ga berguna,1
Gugun,2024-05-28 01:38:40,"Kenapa sekarang sudah berhasil login, kembali minta login lagi berulang ulang? *Edit: Udah normal",5
desi moeett,2024-05-28 03:30:30,Knp saya KLO download aplikasi tidak pernah bisa digunakan,1
Komtung Suci,2024-05-28 04:45:01,"Jangan suka-suka lu lah naro arah Senen semua tol , stasiun klender sering banget arah lewat pasar Senen kalo mau ke kp bandan , kan bisa di seling ga harus lewat sneen semua, ah koncet koncet",1
bintang zackary,2024-05-28 05:48:48,"Mau bikin akun ribet banget najis! KAI gamau kah integrasiin 1 aplikasi buat semua jenis layanan kereta mereka? Biar bisa beli tiket, cek jadwal, dan lacak realtime posisi kereta dalam 1 aplikasi",1
ashif muammar,2024-05-28 09:08:59,Setelah update gabisa dibuka,1
dy wulan,2024-05-28 09:25:29,aplikasi aneh masa sdh login pas cek kereta malah logout dan terus kayak gitu,1
Ruth Secylia Siallagan,2024-05-28 09:58:27,"Susah di akses, aplikasi gak jelas",1
Erlino Dhea Ramadani,2024-05-28 09:59:28,Haduh makin lama makin sering gangguan aja ni aplikasi,2
inderakula,2024-05-28 10:11:39,kalo bisa gak usah pake kartu. cukup scan pake hp,3
Dina Nurhidayanti,2024-05-28 10:30:47,"Aplikasinya lemot padahal kuota masih banyak, untuk buka apps lain lancar giliran buka C-Access susah banget loading mulu mau keluar stasiun jadi susah. Untungnya ada mas² yg jaga jadi ngetap pake kartu dia, tolong di perbaiki lagi KAI.",1
Rain Forest,2024-05-28 23:36:58,banyak bug nya selalu masalah,1
reza ramadhani,2024-05-30 07:00:57,"fitur udah bagus, tapi tolong untuk ""jadwal kereta"" di update lagi karena ""kurang akurat"". saya jadi sering telat berangkat kerja kalo mengandalkan aplikasi ini. terimakasih mohon dibantu, banyak yg membutuhkan aplikasi ini",3
Igor gendut,2024-05-31 12:11:58,Apk tolol Daftar udah berhasil verifikasi udah sukses Ga bisa2 masuk taeee Sampah ga guna,1
sandy agustian,2024-05-31 15:57:25,"Aplikasi guoblok, lemot kaga jelas",1
Zaa Zaa,2024-05-31 20:22:09,Aplikasi goblokkk,1
Mila Kamila,2024-06-01 01:30:58,"Banyak bug, suka error makin aneh",2
Felix Aim,2024-06-01 07:47:41,"Aplikasi ga guna, kebanyakan erornya, bahkan sering ga bisa di buka sama sekali",1
Suryanto Yanto,2024-06-01 07:50:38,APK gak jelas,1
Aniz Jadzy,2024-06-01 07:55:11,"Loading lama, sering banget ada gangguan Mending KRL access",1
Devri Cristian,2024-06-02 06:53:39,"Ga bisa isi ulang saldo kmt ,""apkikasi gopay tidak di temukan "" padahal udah ada aplikasinya",1
Dudi Gustaman,2024-06-02 10:05:53,"Pelayanan memuaskan,jam keberangkatan sesuai jadwal",5
Mohamad Ridwan,2024-06-02 13:46:51,Aplikasinya sangat sangat sangat lemot sekali.. Lihat jadwal kereta loadingnya bisa 3-6menit..,2
Muh Khozin,2024-06-03 05:37:31,Sudah lebih baik,5
Jek Hndsm,2024-06-03 10:25:25,"Aplikasi dongo, menghubungkan ke gopay kaga bisa2. Pin gopay udah bener, tombol lanjut nya kaga nongol.",1
Bangun Sukmantara,2024-06-04 13:35:27,Stuck di logo,1
Maftuhi Abdul Aziz,2024-06-05 15:57:41,Mantap lur,5
Guntur Prasetyo,2024-06-06 09:17:18,"Aplikasi lemot ,jadwal kereta tidak sesuai dengan aplikasi",1
Mansyur Maqfud,2024-06-07 06:15:27,"Keren aplikasinya, sangat berguna untuk penumpang.",5
aditya ikbal,2024-06-07 10:44:41,"sangat lah lemot untuk cek jadwal, kocak apk ga siap dipake",1
Dwi Septiyana,2024-06-09 12:19:09,Ribet bgt ya awalnya udh disuruh bikin akun krna ga bisa akses. Trnyata udh punya akun ttp ga bisa akses ini aplikasi. Akhirnya gue re-install (iyaa re instal bukan updated). Dan baru bisa berfungsi sebagaimana mestinya.,1
Putut Sugiharto,2024-06-11 15:18:21,PERBAIKI LAGI JADWAL KRL NYA,1
Arva 93marc,2024-06-12 20:26:37,Aplikasi busuk gak guna transaksi gagal terus tulisannya aplikasi gopay tidak ditemukan emang dongok ini aplikasi bintang 1 aja gak banget kalo ada bintang -999999999 gua pilih😌,1
si gabuts,2024-06-13 04:08:57,Jadwal gak akurat bangkrut aja karena ngikutin jadwal ini saya di omelin pacar saya habis habisan,1
M Rizky Aditya,2024-06-13 08:31:44,Mantap,5
Ayub Herrera,2024-06-13 10:46:47,"mau top up gak bisa terus, apk aneh",1
Darkxyura Gaming,2024-06-13 13:11:08,gak bida dibuka,1
Hadi N,2024-06-14 11:08:16,Apk hanya sebuah hiasan..,1
MR Azmi,2024-06-15 02:08:29,"Gk bisa top up, tolong update dulu, InsyaaAllah tak kasih bintang 5 klo sudah",1
Reihan Hasibuan,2024-06-16 11:15:20,"Tolong dong dibenerin koneksinya, masa iya loding screen aja lemot",3
Ghavien XDZ,2024-06-17 03:44:18,First,5
Bustomi Gaming,2024-06-17 18:20:02,Kocak Aplikasi Gk bisa untuk login atau daftar Akun Kocak,1
Iqbal Sanjani,2024-06-18 07:12:05,Tidak jelas,1
Kresly Sitohang,2024-06-18 08:23:14,Aplikasi sering down,3
Yazid Akbar,2024-06-18 14:20:51,"Mau top up saldo KMT, status dah berhasil, mau update saldo tapi ga bisa terus update saldonya pas scan kartu (kartunya aman ga rusak sama sekali) terus pas di mau cek atau update saldo malah ""Lost Contact"" kan sumpah ngeselin amat, jadi ga masuk top up nya WOI",1
Sani Maelani Putri,2024-06-19 05:02:34,apk gajelas,1
M Alkautsar MDW,2024-06-20 06:41:26,"Sering error, loading lama, ga bisa refresh, kayanya mendingan krl access dah daripada ini, UI/UX jelas lebih bagus krl access, eh malah di ganti kesini, krl access dimatiin, kacaw",1
Rizal Oktavianto,2024-06-20 12:50:07,Pertama kali top up lancar..... Kedua nya malah jadi sampah kaga bisa sama sekali.... disuruh log in ulang malah ga bisa.... kacauu.... kalo disuruh nilai rating bintang udh jelas no bintang cih,1
Farid Kharisudin,2024-06-22 00:34:13,aplikasi kalo belum siap gausah di iklanin dulu.,1
diah reza,2024-06-22 09:58:42,Aplikasi pelayanan publik tolol. Mau app mau websitenya tolol semua. Bukannya mempermudah malah bikin bingung karena gak pada nyambung.,1
mega wati,2024-06-22 12:24:09,"Sering ga bs d akses. Cuma merah doang . Udh uninstall & dwnload ulang tetep aj ga bs d buka , mendingan apk yang sebelumnya deh dr pd ini .",1
Nejar Aviandhy,2024-06-22 22:47:18,Lelet,1
Prima Raditia,2024-06-23 09:58:33,Bad,1
Veno Oktobrian,2024-06-23 13:08:12,"Apk gajelas dikit"" Eror, lemot, kesalahan terlalu ribet",1
Ipan Ahmad Maulana,2024-06-24 05:42:48,"Jelek banget, update saldo di tap 10x kali dulu biar masuk. Jelek intinya",1
Juhardi Juhiandi,2024-06-24 07:38:45,Jatwal Madiun ke Surabaya,5
Nur Alfia,2024-06-24 11:44:03,Apk apaan mau masuk atau daftar aja susah bgt perbaiki lagi deh,2
Ms Kurniasari,2024-06-24 16:03:40,Sampah,1
Fery Yoes Chiel,2024-06-25 16:00:04,"Halaman Promo mending jangan ada diawal app , di slide kedua saja dibawah jadwal kereta/posisi kereta. Ganggu juga promo gambarnya ga muncul.",4
Hary Syahputra,2024-06-25 17:37:22,Sangat membantu,5
Riri Az,2024-06-26 03:50:32,Pelayanan aplikasi yang buruk isi saldo kmt dari gopay sudah berhasil terpotong Namun dari aplikasi c accec eror gagal. Sudah konsultasi ke cs email namun tidak ada solusi disuruh cek secara berkala tanpa ada panduan teknis. Iseng2 logout aplikasiya trus coba login lagi cek saldo baru masuk. Tlong pembuat aplikasi untuk update bugnya. Terima kasih,1
toto triastanto,2024-06-27 04:36:13,"Payah pembayaran hanya bisa melalui gopay, tidak ada pilihan pembayaran yang lain.",2
Waone Waone,2024-06-27 11:22:54,Lemotttt susah coneks nya..,2
Hasan Abdul Fattah,2024-06-27 12:21:30,"Ampas, aplikasinya super lemot",1
Ahmad Al Fatan,2024-06-28 07:57:27,Jelek. Ngk bisa ngecek posisi commuter line di stasiun pilihan yg kita malu. Ngk kyk dulu. Ngecek posisi krt hr di stasiun yg sesuai dg lokasi. Ngk bisa ngecek di stasiun pilihan sendiru,1
Muhammad Deni Deni,2024-06-28 16:28:27,Daftar aja susah banget untuk mengatur kata sandi nya ribet amat,3
arief boysz,2024-06-28 22:03:51,"Hanya bisa 1 kali buat nge cek saldo KMT. selebihnya FAILED mulu. Kudu hapus data aplikasi , baru bisa buat nge cek saldo LG. Masa, tiap nge cek saldo KMT kudu hapus data aplikasi terlebihbl dahulu terus. Rata² aplikasi pemerintah pada jelek Pdahal anggaran dana buat aplikasi sangat byk",1
Putu Krisnawa Dewi,2024-07-01 10:51:29,"Terlalu sering error, aplikasi yang tidak membantu",1
Afifah Zahra,2024-07-01 11:06:01,aplikasi lemot,1
Rifani Oktaviyanti,2024-07-01 11:22:17,Makin parah ga bisa d buka,1
