userName,at,content,score,Label
Luddy Giarta,2024-04-20 06:27:10,aplikasi aneh login hapus data f gin aplikasi karya putra putri baik bangsa tertawa,1,Negatif
Almira Maulida,2024-04-20 07:59:14,aplikasi sampah guna,1,Negatif
Fissella jazzvy arphegia tiara,2024-04-20 09:35:02,tidak bisa buka,1,Negatif
Bams Bang,2024-04-20 11:09:27,aplikasi masalah it nya kerja,2,Negatif
Tri Arisandi,2024-04-20 11:45:46,mending aplikasi bagus cek rute susah,1,Negatif
Enung,2024-04-20 11:47:07,aplikasi tolol guna,1,Negatif
PADLI Drestadyumna,2024-04-20 12:46:35,developerny lebih baik suruh bikin nasi uduk bikin aplikasi error,1,Negatif
Febrian_Ebi,2024-04-20 14:44:42,aplikasi krl gkk aplikasi niat gkk sih,1,Negatif
Eko Prayogi,2024-04-21 02:18:59,c access bagus kembang versi input kmt fitur nfc saran orang orang awam kasih guna tutorial video,5,Positif
Mikha Khannaniel,2024-04-21 02:36:53,error mulu asa,1,Negatif
Mo Desta,2024-04-21 21:45:21,buka lihat jadwal kereta aplikasi buka hadeeh,1,Negatif
M Sutan Arif Nur Anwar,2024-04-21 22:33:59,ayo teman teman aplikasi buat indonesia tuh dukung penuh kritik mutu bahasa santun masuk saran baik lepas apa kurang kompak dukung bangsa maju terima kasih,5,Positif
Ayumidenisa A,2024-04-21 22:48:45,unduh aplikasi alhamdulillah lancar sayang lihat gerbong kereta sayang banget lihat depan baik kendala baru bintang,3,Positif
Yoshi Rakhmy,2024-04-22 00:40:54,busa buka,2,Negatif
arif gunawan,2024-04-22 00:46:21,aplikasi error,1,Negatif
vnillablue.,2024-04-22 03:06:02,aplikasi rusak dikit dikit error jaring masalah tolong baik admin aplikasi nya,1,Negatif
Ikhsan Maulana,2024-04-22 05:06:35,login reset password bikin akun sih,1,Negatif
wahyu lestari,2024-04-22 06:16:22,error iya admin baharu notif google toko perintah,4,Positif
JEFRI FERNANDO,2024-04-22 12:16:59,error,1,Negatif
Annisa Affandi15,2024-04-23 08:04:28,koneksi bagus krl acces mah gembel lelet,1,Negatif
Wibowo Kesuma,2024-04-23 10:31:26,jelek lelet menu posisi kereta better krl access,1,Negatif
Fitri Khoerunnisa,2024-04-23 11:06:17,baik banget error lebih baik aplikasi banding,1,Negatif
A I Ridwanudin,2024-04-24 01:13:48,buka,1,Negatif
Fikri Ahmad Maulana,2024-04-24 03:41:22,fitur posisi kereta jadwal kereta aktif lokasi handphone mudah simpel kai access,3,Positif
DRT,2024-04-24 11:46:45,daftar,1,Negatif
Muhammad Langgeng,2024-04-25 00:04:45,tolong baik menu posisi krl berangkat krl lacak menu posisi krl aplikasi c acces,1,Negatif
Desi Tri Utami,2024-04-25 14:34:01,aneh aplikasi hasil topup gilir baru saldo invalid token hangus saldo gopay baru canggih aplikasi,1,Negatif
tedy hp,2024-04-28 02:22:43,paksa taut bayar,1,Negatif
Al Fikri,2024-04-28 11:02:26,aplikasi telek rilis up bug akses server lelet banget si cache sharusnya si berat yaampun programmernya,1,Negatif
Widy Budi,2024-04-28 12:53:15,bantu gerbong,5,Positif
Debi Anugrah,2024-04-28 15:19:27,guna,1,Negatif
luth fi,2024-04-29 00:30:31,suruh sambung gopay nunggu bo otp ulang coba perangkat seluler iphone,1,Negatif
irawan nurinsan,2024-04-29 07:52:08,tolong metode tup up nya pakai ovo opsional metode top up,5,Positif
Yudha Firmansyah,2024-04-29 17:27:24,badddd aplication saldo potong tidak bisa,1,Negatif
Putrisya Nirbaya,2024-04-30 01:22:49,lemoott aplikasi nya,1,Negatif
RedSkins LastWar,2024-04-30 06:46:52,gila aplikasi sampah dar tulis nama stasiun nama stasiun mesti gabung,1,Negatif
Putra Pandjaitan,2024-05-01 04:18:04,daftar ribet karakter spesial apa baca,2,Negatif
Syfa Noer,2024-05-01 21:04:06,pasang aplikasi tarik,4,Positif
Anang Setiawan,2024-05-03 09:02:31,daftar ribet banget,1,Negatif
Ichaniago Syah,2024-05-03 13:31:13,data temu,1,Negatif
yoed's &tertainment,2024-05-04 12:12:18,aplikasi krl access sptnya shutdown aplikasi rujuk ganti pakai daftar by email hp not work wake up commuterline,1,Negatif
Kang Arif (Mass),2024-05-07 08:12:08,pakai foto profil nyuruh login ulang mulu,1,Negatif
Widiaoctavia Ningrum,2024-05-08 07:56:33,tolong baik jaring bagus fitur ok pesan tiket bagus sinyal lihat jadwal pesan tiket terima kasih,3,Positif
ibnu nugraha,2024-05-08 10:53:28,krl aksess ganti c aksess jadwal posisi kereta kini nguawuuuur,1,Negatif
hinazuki,2024-05-08 11:28:59,aplikasi optimal kembang,1,Negatif
Sirly Maulida,2024-05-08 11:39:25,niat bikin aplikasi ganti ganti error susah atur krl aplikasi,1,Negatif
Rindy Helinda,2024-05-08 12:08:22,aplikasi lelet masuk,3,Positif
Heri Setiyo Nugroho,2024-05-10 03:55:45,cek jadwal krl mudah cari praktis cepat,5,Positif
Arcilla Khirani lavanya,2024-05-10 03:56:54,pakai,1,Negatif
Andreas Yordan,2024-05-12 05:58:50,bagus,5,Positif
Sadaya Media,2024-05-12 06:00:49,tolong aplikasi nya baik capek buka aplikasi login kadang kadang susah buka nya,2,Negatif
Baban Syam,2024-05-12 07:58:14,aplikasi tidak jelas cek saldo tidak bisa tertawa afk loh,1,Negatif
Tatang Suherman,2024-05-15 23:52:06,aplikasi sulit baca kartu nya,1,Negatif
Rebin Achmad sofinudin,2024-05-16 09:50:28,terima kasih mudah cek kartu,5,Positif
maryono,2024-05-16 23:24:25,warna huruf kontras sulit baca mohon ganti warna,5,Positif
Muhammad Daffa Umam,2024-05-17 10:46:49,cek saldo kartu multi trip,1,Negatif
Mydhay,2024-05-17 22:21:43,mudah apa hhhaaa aplikasi kocag,1,Negatif
Suryadin Hakim2,2024-05-18 14:01:07,aplikasi guna alhamdulillah hapus ponsel,1,Negatif
Kahar Udin,2024-05-19 12:07:37,bagus aplikasi mantap,5,Positif
Rafi Sans,2024-05-19 19:02:28,asli doang digunain bulan pakai,1,Negatif
Anggi Abdillah,2024-05-21 01:52:31,aplikasi akurat lebih baik krl access tidak bisa,1,Negatif
Bagas Mahendra,2024-05-21 11:20:46,aplikasi ccd aplikasi krl access load data tolong pilih vendor software housenya team developer nya harud evaluasi,1,Negatif
[ARD] Suhardi,2024-05-21 11:36:21,server error minggu minggu,1,Negatif
Ashiddiq,2024-05-22 14:51:01,aplikasi ya jls access,1,Negatif
Syifa Nurul,2024-05-22 16:23:13,guna,1,Negatif
Fani Rianda Nur Adianto,2024-05-23 04:35:55,aplikasi,1,Negatif
Lana Arlan,2024-05-23 09:18:28,lebih baik versi deh,1,Negatif
ubay dillah,2024-05-24 15:24:15,aplikasi daftar ulang log masuk bisa gagal,1,Negatif
Faizal Fatkhu Rakhman,2024-05-24 17:12:58,mantap,5,Positif
Firman Ferdian,2024-05-25 05:09:32,bagus,5,Positif
Muhammad Rudi,2024-05-25 15:59:50,lelet payah,1,Negatif
Randi Purnama,2024-05-26 05:45:45,biar baca suka error pas cek baru saldo lebih baik pakai lebih baik isi stasiun kesel orang buru pakai,5,Positif
Antoni Saputra,2024-05-26 11:15:38,bagus jadwal posisi kereta,5,Positif
Ah Masaa,2024-05-26 22:52:24,aplikasi payah kesini sulit nentuin lokasi stasiun posisi stasiun tidak bisa,1,Negatif
Rafih Tedhe,2024-05-27 01:41:43,aplikasi login gilir login terang password salah gilir ganti password tetep salah sistem nya jelek usaha kai cuih,1,Negatif
Yogi Setya Adhi,2024-05-27 02:10:20,aplikasi t i,1,Negatif
Alghozali Rizki,2024-05-27 02:11:13,tidak jelas login tidak bisa,1,Negatif
Irwan Wiguna,2024-05-27 03:13:53,aplikasi tolol,1,Negatif
Muhammad Rivai,2024-05-27 03:57:02,tolkng baik login masuk log,2,Negatif
Avira Khofifah,2024-05-27 05:13:13,tidak jelas error error error mulu,1,Negatif
Paryadi Kambari,2024-05-27 06:32:01,operasi mudah bantu,5,Positif
Ali Hanif,2024-05-27 08:04:05,aplikasi danta pisannn,1,Negatif
Andri Suryana,2024-05-27 09:36:41,aplikasi nya error,2,Negatif
Anggi Triwulandari,2024-05-27 09:49:22,aplikasi stres login mlh sedang suruh login,1,Negatif
yusuf,2024-05-27 09:52:54,ribet banget aplikasi jadwal cl doang login ulang ulang,1,Negatif
yahya taufani,2024-05-27 11:20:48,tolong baik bug nya terkadang suka login,4,Positif
mohammad eric rivaldi,2024-05-27 11:24:47,aplikasi nya,1,Negatif
Muhamad Rizkia,2024-05-27 12:12:56,ampas,1,Negatif
Kang YAYAN,2024-05-27 13:41:44,aplikasi loading respon rekomendasi,1,Negatif
Erlan Kumank,2024-05-27 15:27:38,lebih baik cepat aplikasi masuk kedetek jadwal info hubung aneh bin ajaib kelas kai tolong baik depan sulit jadwal posisi kereta krl,1,Negatif
Anisa pratama,2024-05-27 15:47:43,aplikasi tidak jelas kendala guna,1,Negatif
Gugun,2024-05-28 01:38:40,hasil login login ulang ulang edit normal,5,Positif
desi moeett,2024-05-28 03:30:30,unduh aplikasi,1,Negatif
Komtung Suci,2024-05-28 04:45:01,suka suka naro arah senen tol stasiun klender banget arah pasar senen kp bandan seling sneen ah koncet koncet,1,Negatif
bintang zackary,2024-05-28 05:48:48,bikin akun ribet banget najis kai gamau kah integrasiin aplikasi jenis layan kereta biar beli tiket cek jadwal lacak realtime posisi kereta aplikasi,1,Negatif
ashif muammar,2024-05-28 09:08:59,baru tidak bisa buka,1,Negatif
dy wulan,2024-05-28 09:25:29,aplikasi aneh login pas cek kereta,1,Negatif
Ruth Secylia Siallagan,2024-05-28 09:58:27,susah akses aplikasi,1,Negatif
Erlino Dhea Ramadani,2024-05-28 09:59:28,haduh ganggu aplikasi,2,Negatif
inderakula,2024-05-28 10:11:39,pakai kartu pindai pakai hp,3,Positif
Dina Nurhidayanti,2024-05-28 10:30:47,aplikasi lelet kuota buka aplikasi lancar gilir buka c access susah banget loading mulu stasiun susah untung mas jaga ngetap pakai kartu tolong baik kai,1,Negatif
Rain Forest,2024-05-28 23:36:58,bug nya,1,Negatif
reza ramadhani,2024-05-30 07:00:57,fitur bagus tolong jadwal kereta baru akurat lambat berangkat kerja andal aplikasi terima kasih mohon bantu butuh aplikasi,3,Positif
Igor gendut,2024-05-31 12:11:58,aplikasi tolol daftar hasil verifikasi sukses masuk taeee sampah guna,1,Negatif
sandy agustian,2024-05-31 15:57:25,aplikasi goblok lelet,1,Negatif
Zaa Zaa,2024-05-31 20:22:09,aplikasi goblokkk,1,Negatif
Mila Kamila,2024-06-01 01:30:58,bug suka error aneh,2,Negatif
Felix Aim,2024-06-01 07:47:41,aplikasi guna banyak eror buka,1,Negatif
Suryanto Yanto,2024-06-01 07:50:38,aplikasi,1,Negatif
Aniz Jadzy,2024-06-01 07:55:11,loading banget ganggu lebih baik krl access,1,Negatif
Devri Cristian,2024-06-02 06:53:39,isi ulang saldo kmt apkikasi gopay temu aplikasi,1,Negatif
Dudi Gustaman,2024-06-02 10:05:53,layan puas jam berangkat sesuai jadwal,5,Positif
Mohamad Ridwan,2024-06-02 13:46:51,aplikasi lelet lihat jadwal kereta tunggu menit,2,Negatif
Jek Hndsm,2024-06-03 10:25:25,aplikasi dongo hubung gopay pin gopay tombol nya muncul,1,Negatif
Bangun Sukmantara,2024-06-04 13:35:27,stuck logo,1,Negatif
Maftuhi Abdul Aziz,2024-06-05 15:57:41,mantap lur,5,Positif
Guntur Prasetyo,2024-06-06 09:17:18,aplikasi lelet jadwal kereta sesuai aplikasi,1,Negatif
Mansyur Maqfud,2024-06-07 06:15:27,keren aplikasi guna tumpang,5,Positif
aditya ikbal,2024-06-07 10:44:41,lelet cek jadwal kocak aplikasi dipake,1,Negatif
Dwi Septiyana,2024-06-09 12:19:09,ribet banget iya suruh bikin akun akses trnyata akun ttp akses aplikasi reply pasang iyaa reply pasang baru fungsi mesti,1,Negatif
Putut Sugiharto,2024-06-11 15:18:21,baik jadwal krl nya,1,Negatif
Arva 93marc,2024-06-12 20:26:37,aplikasi busuk guna transaksi gagal tulis aplikasi gopay temu emang dongok aplikasi bintang banget bintang pilih,1,Negatif
si gabuts,2024-06-13 04:08:57,jadwal akurat bangkrut ngikutin jadwal omelin pacar habis habis,1,Negatif
M Rizky Aditya,2024-06-13 08:31:44,mantap,5,Positif
Ayub Herrera,2024-06-13 10:46:47,top up aplikasi aneh,1,Negatif
Darkxyura Gaming,2024-06-13 13:11:08,buka,1,Negatif
Hadi N,2024-06-14 11:08:16,aplikasi hias,1,Negatif
MR Azmi,2024-06-15 02:08:29,top up tolong baru insyaaallah kasih bintang,1,Negatif
Reihan Hasibuan,2024-06-16 11:15:20,tolong koneksi iya muat screen lelet,3,Positif
Bustomi Gaming,2024-06-17 18:20:02,kocak aplikasi login daftar akun kocak,1,Negatif
Kresly Sitohang,2024-06-18 08:23:14,aplikasi,3,Positif
Yazid Akbar,2024-06-18 14:20:51,top up saldo kmt status hasil baru saldo baru saldo pas pindai kartu kartu aman rusak pas cek baru saldo hilang contact sumpah ngeselin masuk top up nya woi,1,Negatif
Sani Maelani Putri,2024-06-19 05:02:34,aplikasi tidak jelas,1,Negatif
M Alkautsar MDW,2024-06-20 06:41:26,error loading ulang kayak mending krl access ui ux bagus krl access eh ganti kesini krl access dimatiin kacaw,1,Negatif
Rizal Oktavianto,2024-06-20 12:50:07,kali top up lancar nya sampah suruh log masuk ulang kacauu suruh nilai rating bintang bintang cih,1,Negatif
Farid Kharisudin,2024-06-22 00:34:13,aplikasi gausah iklan,1,Negatif
diah reza,2024-06-22 09:58:42,aplikasi layan publik tolol aplikasi websitenya tolol mudah bikin bingung nyambung,1,Negatif
mega wati,2024-06-22 12:24:09,di akses merah doang copot unduh ulang tetep di buka mending aplikasi deh dari kepada,1,Negatif
Nejar Aviandhy,2024-06-22 22:47:18,lambat,1,Negatif
Prima Raditia,2024-06-23 09:58:33,bad,1,Negatif
Veno Oktobrian,2024-06-23 13:08:12,aplikasi tidak jelas dikit error lelet salah ribet,1,Negatif
Ipan Ahmad Maulana,2024-06-24 05:42:48,jelek banget baru saldo tap kali biar masuk jelek inti,1,Negatif
Juhardi Juhiandi,2024-06-24 07:38:45,jadwal madiun surabaya,5,Positif
Nur Alfia,2024-06-24 11:44:03,aplikasi masuk daftar susah banget baik deh,2,Negatif
Ms Kurniasari,2024-06-24 16:03:40,sampah,1,Negatif
Fery Yoes Chiel,2024-06-25 16:00:04,halaman promo lebih baik awal aplikasi slide bawah jadwal kereta posisi kereta ganggu promo gambar muncul,4,Positif
Hary Syahputra,2024-06-25 17:37:22,bantu,5,Positif
Riri Az,2024-06-26 03:50:32,layan aplikasi buruk isi saldo kmt gopay hasil potong aplikasi c accec error gagal konsultasi cs email solusi suruh cek kala pandu teknis iseng aplikasi coba login cek saldo masuk tolong buat aplikasi baru bugnya terima kasih,1,Negatif
toto triastanto,2024-06-27 04:36:13,payah bayar gopay pilih bayar,2,Negatif
Waone Waone,2024-06-27 11:22:54,lemotttt susah coneks nya,2,Negatif
Hasan Abdul Fattah,2024-06-27 12:21:30,ampas aplikasi super lelet,1,Negatif
Ahmad Al Fatan,2024-06-28 07:57:27,jelek ngk cek posisi commuter line stasiun pilih malu ngk cek posisi krt stasiun sesuai lokasi ngk cek stasiun pilih,1,Negatif
Muhammad Deni Deni,2024-06-28 16:28:27,daftar susah banget atur sandi nya ribet,3,Positif
arief boysz,2024-06-28 22:03:51,kali nge cek saldo kmt lebih failed mulu hapus data aplikasi nge cek saldo sedang nge cek saldo kmt hapus data aplikasi terlebihbl rata aplikasi perintah jelek anggar dana aplikasi,1,Negatif
Putu Krisnawa Dewi,2024-07-01 10:51:29,error aplikasi bantu,1,Negatif
Afifah Zahra,2024-07-01 11:06:01,aplikasi lelet,1,Negatif
Rifani Oktaviyanti,2024-07-01 11:22:17,parah di buka,1,Negatif
abu fuad sariyo,2024-07-02 09:05:56,bulan ngelink gopay bilang akun not found hubung admin suruh hapus cache pasang ulang puluh kali ngelink gopay developer tolong baik aplikasi,1,Negatif
Aldy Muhammad,2024-07-02 15:39:40,realtime selisih menit,1,Negatif
Najwanadia 2810,2024-07-02 16:52:27,login aneh banget,2,Negatif
imam photograph676,2024-07-03 09:15:19,tidak bisa login malas,1,Negatif
Ferly Akunk,2024-07-04 00:48:53,ribet lambat baru krl acces,1,Negatif
Rizki Maulana,2024-07-04 06:54:05,lebih baik aplikasi,1,Negatif
QZ Collection,2024-07-04 09:53:43,lelet,1,Negatif
Rahmawati Ahmad,2024-07-05 02:54:02,rute tidak bisa buka sih sgt bantu,1,Negatif
Fatih Nugroho,2024-07-05 17:11:16,aplikasi ribettttt masuk sandi tetep salah ribettt,1,Negatif
Andreas Pranata Gultom,2024-07-06 07:28:08,aplikasi bug kuat apa internet muncul contoh peta rute krl uinstall aplikasi,1,Negatif
Yudit Argantara,2024-07-07 00:55:07,susah banget daftar akun,2,Negatif
Muhamad Suardi,2024-07-07 12:00:18,aplikasi anying jls daftar,1,Negatif
ROHMAT HIDAYAT,2024-07-07 12:42:50,lelet baik,1,Negatif
Aji Yudha,2024-07-07 23:37:29,aplikasi nya bagus lelet ganggu aplikasi,3,Positif
Ichsan Maa'arif,2024-07-08 00:07:19,too lelet for open the aplikasi,1,Negatif
Jujun Junaedi,2024-07-08 00:55:48,error mulu,1,Negatif
Rina Ayu Panca Rini,2024-07-08 02:03:22,ribett suka sesuai maps,1,Negatif
Steven Christian,2024-07-09 02:42:03,bingung guna aplikasi sih lancar performa,2,Negatif
レム GAMING,2024-07-09 14:38:20,topup,1,Negatif
HARIO RAHARDY,2024-07-09 14:44:46,perhati aplikasi,1,Negatif
elsya triani,2024-07-10 00:05:05,tolong baik lagi aplikasi nya lelet lihat jadwal ganggu mulu,2,Negatif
Mozaic waltz,2024-07-10 00:09:14,layan publik indonesia becus bikin aplikasi,1,Negatif
Agung Maulana,2024-07-10 00:28:56,jelek aplikasi regist akun,1,Negatif
Budi Utomo,2024-07-10 00:31:11,aplikasi banget masalah enas bagus,1,Negatif
Fanfan,2024-07-10 00:35:49,ganggu mulu,1,Negatif
Deny Adi Purwanto,2024-07-10 01:07:43,fungsi lihat posisi kereta,1,Negatif
Bukhori 06,2024-07-10 01:15:25,aplikasi banget error kgk baik,1,Negatif
Melinda Wahyuningsih,2024-07-10 01:33:22,unduh tiket tiba hilang bayar,1,Negatif
pikry aly,2024-07-10 01:51:09,stuck loading mulu aplikasi,1,Negatif
Angga Syahrul Anam,2024-07-10 02:40:59,aplikasi aneh ganggu mulu jaring penuh lancar jaya pas coba akun ganggu cek rute doang ribet tunggu banget nunggu loading pas beres ganggu,1,Negatif
Muhammad Albar,2024-07-10 03:38:57,error mohon baik cepat,1,Negatif
Farhan Ramadhan,2024-07-10 03:39:04,kai acces ganti c acces ganggu tertawa,1,Negatif
Ice bong,2024-07-10 03:53:08,susah masuk nya bagus,1,Negatif
Arief Setiawan,2024-07-10 04:03:16,buka,1,Negatif
Sulaiman,2024-07-10 06:07:36,parah baru banget jadwal realtime kendala apa iya kasih push notifikasi tinggal menit,2,Negatif
iyansyah,2024-07-10 09:14:01,lelet buka,1,Negatif
rifky aziz,2024-07-10 09:44:37,aplikasi tidak jelas lebih baik,1,Negatif
Oka 8,2024-07-10 11:54:30,cari jadwal kreta error terima kasih,3,Positif
Yasser Firdaus,2024-07-10 11:59:16,top up kmt error uang sedot saldo masuk kembali dana,1,Negatif
Ardi,2024-07-11 11:45:59,buka aplikasi nya lambat banget,1,Negatif
Deniepung 13,2024-07-12 06:10:36,bayar nya gopay tolong tingkat va bank nya biar mudah,1,Negatif
farhan :v,2024-07-12 14:04:31,tolol anjj,1,Negatif
rivai ahmad,2024-07-12 15:56:31,jadwal sesuai suka lambat sinkron bikin aplikasi nya,1,Negatif
Watch FII,2024-07-13 05:49:53,negara juta aplikasi dikit aplikasi pakai vendor hp aplikasi krl ganti tolol,1,Negatif
Putri Winny,2024-07-13 08:51:30,disambungin ojek online gopay tiba tiba bayar tidak bisa,2,Negatif
Bang Yudizz,2024-07-13 12:05:22,tidak jelas,1,Negatif
Mahyudin Azis,2024-07-13 12:30:03,aplikasi pler era online era digital paksa pler,1,Negatif
De Rifqi,2024-07-14 02:55:40,aplikasi kotor pencet login ttep bae tidak bisa sandi telepon email bener,1,Negatif
Andika Rifki Nugroho,2024-07-14 17:00:01,aplikasi jelek topup,1,Negatif
